# WI10: the camera thresholds measured on the 75 frames main kept on the D-167 meeting (review P2-1)
source: the saved JPEGs of the D-174 run (1280x720, quality 85), read in place in the owner's data folder, never copied
method: RGB resized to 640x360 with a box filter (the nearest to the decoder's AREA scaling of the 1080p source, which the code sees), the repo's signals.to_gray, content area below 15%; density = sharp steps (>40) per pixel, averaged over rows and columns; share = sharp steps among visible steps (>8); kind = what Gemini read in the frame (frames_read.md)
thresholds: camera when density < 0.028 AND share < 0.25
frame | time | kind | density | share | camera by the code
46 | 00:41:16 | screen | 0.0831 | 0.494 | False
47 | 00:42:56 | gallery | 0.0238 | 0.615 | False
48 | 01:01:34 | screen | 0.0528 | 0.395 | False
49 | 01:01:37 | screen | 0.0545 | 0.378 | False
50 | 01:01:40 | screen | 0.0619 | 0.407 | False
51 | 01:01:44 | screen | 0.0633 | 0.467 | False
52 | 01:01:48 | screen | 0.0775 | 0.504 | False
53 | 01:01:53 | screen | 0.0702 | 0.514 | False
54 | 01:01:56 | screen | 0.0580 | 0.448 | False
55 | 01:02:00 | screen | 0.0627 | 0.423 | False
56 | 01:02:05 | screen | 0.0635 | 0.450 | False
57 | 01:02:22 | screen | 0.0659 | 0.461 | False
58 | 01:02:47 | screen | 0.0660 | 0.459 | False
59 | 01:03:09 | screen | 0.0528 | 0.435 | False
60 | 01:03:12 | screen | 0.0535 | 0.428 | False
61 | 01:03:32 | screen | 0.0556 | 0.433 | False
62 | 01:03:37 | screen | 0.0542 | 0.428 | False
63 | 01:03:43 | screen | 0.0556 | 0.494 | False
64 | 01:03:49 | screen | 0.0555 | 0.500 | False
65 | 01:04:13 | screen | 0.0490 | 0.441 | False
66 | 01:04:18 | screen | 0.0631 | 0.513 | False
67 | 01:04:32 | screen | 0.0540 | 0.418 | False
68 | 01:04:35 | screen | 0.0635 | 0.458 | False
69 | 01:04:39 | screen | 0.0702 | 0.474 | False
70 | 01:04:43 | screen | 0.0655 | 0.438 | False
71 | 01:04:46 | screen | 0.0645 | 0.450 | False
72 | 01:05:30 | screen | 0.0670 | 0.449 | False
73 | 01:15:12 | gallery | 0.0242 | 0.620 | False
74 | 01:19:46 | gallery | 0.0184 | 0.705 | False
75 | 01:19:50 | gallery | 0.0027 | 0.732 | False
camera: 16 frames, density 0.0179-0.0219, share 0.129-0.142, called camera: 16
gallery: 9 frames, density 0.0027-0.0242, share 0.595-0.732, called camera: 0
screen: 50 frames, density 0.0199-0.1077, share 0.153-0.744, called camera: 0
camera: 16 frames, density 0.0179-0.0219, share 0.129-0.142, called camera: 16
gallery: 9 frames, density 0.0027-0.0242, share 0.595-0.732, called camera: 0
screen: 50 frames, density 0.0199-0.1077, share 0.153-0.744, called camera: 0
reading: every screen frame is past at least one threshold, but neither measure alone separates them. Closest to the camera side: 31 (00:10:49, a desktop wallpaper photograph, density 0.0324 against 0.028, share 0.153 on the camera side), 37 and 38 (dark-theme Excel, share 0.301 and 0.321 against 0.25). The title card (01) has density 0.0199 on the camera side and share 0.744. The margin on this meeting is thin for photographs and dark screens, and it depends on the scaling (review P2-1, P2-2)
